Fuel Type,Lag (Months),Correlation (r),p-value,Significant
Conventional Gasoline,0,0.9816595228903852,0.0,True
Conventional Gasoline,1,0.9698779284078073,5.824593155529958e-288,True
Conventional Gasoline,2,0.950766005923564,3.1982301802671514e-239,True
Conventional Gasoline,3,0.9299331881042606,1.3634730523378392e-204,True
Conventional Gasoline,4,0.9098670760374791,3.7146825106506158e-180,True
Conventional Gasoline,5,0.8928042456390458,1.6350373249809248e-163,True
Conventional Gasoline,6,0.8780175384716328,6.660579389031039e-151,True
Conventional Gasoline,7,0.8673737120399209,1.0131015182385034e-142,True
Conventional Gasoline,8,0.856849980994968,2.649826706990931e-135,True
Conventional Gasoline,9,0.847812602298315,2.33440927591707e-129,True
Conventional Gasoline,10,0.8396374954879919,2.7692188955921245e-124,True
Conventional Gasoline,11,0.8301098958393842,9.102786521577201e-119,True
Conventional Gasoline,12,0.8196223513570667,4.133887643105184e-113,True
Jet Fuel,0,0.9814164739817528,3.019819843822127e-303,True
Jet Fuel,1,0.9737114674395472,5.781920802417564e-272,True
Jet Fuel,2,0.9578668467666235,1.1328006305738607e-229,True
Jet Fuel,3,0.9383901507758562,6.407896492381806e-196,True
Jet Fuel,4,0.9186909080224877,1.5380288826594142e-171,True
Jet Fuel,5,0.8998027276550677,2.2089872241755584e-153,True
Jet Fuel,6,0.8812255130784428,9.313631855455336e-139,True
Jet Fuel,7,0.8648372400549711,9.27583774796478e-128,True
Jet Fuel,8,0.8468639171950134,3.016120615596777e-117,True
Jet Fuel,9,0.8311787424385635,4.0091813098896323e-109,True
Jet Fuel,10,0.8171736365295547,1.5088088131674293e-102,True
Jet Fuel,11,0.8025452518830193,2.9465216857130826e-96,True
Jet Fuel,12,0.7881685314952684,1.4341240760102703e-90,True
No. 2 Heating Oil,0,0.9773443506792354,2.0928029e-316,True
No. 2 Heating Oil,1,0.9701695614640047,6.2466067579482535e-289,True
No. 2 Heating Oil,2,0.9570921118161343,8.185667611562743e-253,True
No. 2 Heating Oil,3,0.9410228121723341,1.880698552523092e-221,True
No. 2 Heating Oil,4,0.9252641549162618,2.627747187328452e-198,True
No. 2 Heating Oil,5,0.9093780147457372,1.2354204989176845e-179,True
No. 2 Heating Oil,6,0.8925051979890734,6.696361721480034e-163,True
No. 2 Heating Oil,7,0.8778481805003144,1.8826417155679808e-150,True
No. 2 Heating Oil,8,0.861314770957748,2.9971686579126625e-138,True
No. 2 Heating Oil,9,0.8456601197812741,4.584797016915831e-128,True
No. 2 Heating Oil,10,0.8315796921006637,8.218764342329422e-120,True
No. 2 Heating Oil,11,0.8178273678138046,1.842581064126818e-112,True
No. 2 Heating Oil,12,0.8048349309064035,4.615965875763739e-106,True
Propane,0,0.8877401761598844,8.13113969436011e-135,True
Propane,1,0.8650227490275618,4.493957987817839e-120,True
Propane,2,0.8350764458713461,2.668542835671566e-104,True
Propane,3,0.8027592640826758,1.709208332545759e-90,True
Propane,4,0.7699175376760811,7.153558707779056e-79,True
Propane,5,0.736920596258225,5.362163293121321e-69,True
Propane,6,0.7037993775103103,1.7669666511847862e-60,True
Propane,7,0.6717018613436587,2.7706610060457465e-53,True
Propane,8,0.6397624476852186,5.704309439467057e-47,True
Propane,9,0.6090936065397494,1.4198636179149128e-41,True
Propane,10,0.5818373783532997,2.9983693750026425e-37,True
Propane,11,0.5581153387561023,8.371077909100512e-34,True
Propane,12,0.5378543413340495,4.51161031491038e-31,True
RBOB Regular Gasoline,0,0.9089748440626224,1.4738466894447543e-101,True
RBOB Regular Gasoline,1,0.8670243376628589,3.0803681512788765e-81,True
RBOB Regular Gasoline,2,0.8046494528989471,2.9516018370638098e-61,True
RBOB Regular Gasoline,3,0.7455833714838233,4.35764622365552e-48,True
RBOB Regular Gasoline,4,0.6877972404722829,2.530866699091142e-38,True
RBOB Regular Gasoline,5,0.6454528495443539,1.663118549390617e-32,True
RBOB Regular Gasoline,6,0.613190878430563,1.1775880892834337e-28,True
RBOB Regular Gasoline,7,0.5879435784793487,6.147502856575627e-26,True
RBOB Regular Gasoline,8,0.5658733127068889,9.486531573406393e-24,True
RBOB Regular Gasoline,9,0.5459969667919475,6.49265063240997e-22,True
RBOB Regular Gasoline,10,0.5360816765010229,4.8224761427736435e-21,True
RBOB Regular Gasoline,11,0.5212721119209919,8.545451027450766e-20,True
RBOB Regular Gasoline,12,0.49534256095437357,9.465515218227224e-18,True
ULS Diesel,0,0.9196605682663083,4.119687668182784e-94,True
ULS Diesel,1,0.895050476669736,1.4533624386434496e-81,True
ULS Diesel,2,0.8503507514500601,3.1435742003307672e-65,True
ULS Diesel,3,0.7949873267737,3.50807641495322e-51,True
ULS Diesel,4,0.739907772445003,5.880323691994801e-41,True
ULS Diesel,5,0.6824014793927354,9.850990089918355e-33,True
ULS Diesel,6,0.623035856945168,5.1084796884003876e-26,True
ULS Diesel,7,0.5713411256530116,3.0486977057156073e-21,True
ULS Diesel,8,0.5136805717618779,8.074310171499309e-17,True
ULS Diesel,9,0.4596890927779891,2.2531319021148343e-13,True
ULS Diesel,10,0.4127580105493644,7.80538199697682e-11,True
ULS Diesel,11,0.3697857061682142,7.874815942514629e-09,True
ULS Diesel,12,0.33069176730094063,3.02769553131858e-07,True
