Fuel Type,R2 Score,MSE,Feature,Coefficient
Conventional Gasoline,0.8411,0.054806,Crude Oil,0.025751399956944372
Jet Fuel,0.8907,0.05465,Crude Oil,0.027289377128779983
No. 2 Heating Oil,0.825,0.089878,Crude Oil,0.0271192220603266
Propane,0.6208,0.046034,Crude Oil,0.015083967217578867
RBOB Regular Gasoline,0.7877,0.079895,Crude Oil,0.027890920522544212
ULS Diesel,0.8186,0.09749,Crude Oil,0.027683913662944964
Conventional Gasoline,0.8411,0.054806,Crude Oil Lag 1,0.0014670089832262622
Jet Fuel,0.8907,0.05465,Crude Oil Lag 1,0.0014982205942381441
No. 2 Heating Oil,0.825,0.089878,Crude Oil Lag 1,0.00038790264734374965
Propane,0.6208,0.046034,Crude Oil Lag 1,-0.0032971853767015283
RBOB Regular Gasoline,0.7877,0.079895,Crude Oil Lag 1,0.0010985062655256912
ULS Diesel,0.8186,0.09749,Crude Oil Lag 1,0.0003818775090973451
Conventional Gasoline,0.8411,0.054806,Crude Oil Lag 2,0.0005892990793442508
Jet Fuel,0.8907,0.05465,Crude Oil Lag 2,-0.003093559815184354
No. 2 Heating Oil,0.825,0.089878,Crude Oil Lag 2,-0.0019675578777411913
Propane,0.6208,0.046034,Crude Oil Lag 2,0.0007150356444389021
RBOB Regular Gasoline,0.7877,0.079895,Crude Oil Lag 2,-0.002170840285766256
ULS Diesel,0.8186,0.09749,Crude Oil Lag 2,-0.0023516574277686847
Conventional Gasoline,0.8411,0.054806,Crude Oil Lag 3,-0.0013522115484522089
Jet Fuel,0.8907,0.05465,Crude Oil Lag 3,0.006514077398170783
No. 2 Heating Oil,0.825,0.089878,Crude Oil Lag 3,0.005620441060490432
Propane,0.6208,0.046034,Crude Oil Lag 3,-0.00044294046402952787
RBOB Regular Gasoline,0.7877,0.079895,Crude Oil Lag 3,-0.0008348860208293358
ULS Diesel,0.8186,0.09749,Crude Oil Lag 3,0.006093521316731787
